Title ,ED information ,Prepared for treatment,Hopeful for recovery,How to build a support network?,How to best support yourself: Personal Tools for recovery 
How Do I Start Recovery?,2,3,3,1,1
Defining Recovery,1,3,3,1,1
Recognizing the Eating Disorder Voice,3,1,2,1,2
Am I Sick Enough?,3,2,3,2,1
How To Tell Someone You Have an Eating Disorder,1,1,1,3,1
The Long and Winding Road of Recovery,2,2,3,1,1
Self Compassion & Recovery,1,2,3,1,3
Family-Based Therapy & Eating Disorders,1,3,1,1,1
Neuroscience of Eating Disorders,3,1,1,1,1
The Biological Basis of Eating Disorders,3,1,1,1,1
Exploring Eating Disorder Treatment Options,1,3,2,2,1
Who Is on My Support Team?,1,2,2,3,1
Talking with Friends and Family,1,1,1,3,1
Goal Setting For Realistic Recovery​,1,2,3,1,1
DBT Part 1 and 2,1,3,1,1,3
Nourish Your Recovery,3,2,2,1,2
Exploring Emotional Eating with Cognitive Behavioural Therapy (CBT),1,3,2,1,3
Starting with Meal Planning,2,1,1,1,3
Navigating Grocery Shopping,1,1,1,1,3
Self-Advocacy in Medical Settings,1,3,2,3,1
Setting Boundaries,1,1,1,3,1
Barriers to Recovery,2,2,3,1,1
Self-Sabotaging,2,1,3,1,3
Part 1: Challenges of Recovery - Physical,3,1,1,1,1
Part 2: Challenges of Recovery Mental/Emotion,3,1,2,2,2
Dealing with Diet Culture,3,1,1,1,3
Reclaiming Challenging Foods,2,1,1,1,3
Coping with Bad Body Image Days,3,1,1,1,3
"I Can't Keep Calm, I Have Anxiety",2,1,1,1,3
Social Recovery,1,1,1,1,3
Body Checking,2,1,1,1,2
Navigating the Holidays in Recovery,1,1,1,1,2
Thriving Through the Holidays,1,1,1,1,2
What is Flexible Eating?,3,1,1,1,2
Intuitive Eating Part 1 and 2 ,3,1,1,1,2
